filename,label,recording_id,split
ml17_280a_0016_chunk0018.wav,0,ml17_280a_0016,train
ml17_280a_0029_chunk0008.wav,0,ml17_280a_0029,train
ml17_280a_0053_chunk0054.wav,0,ml17_280a_0053,train
ml17_280a_0091_chunk0034.wav,0,ml17_280a_0091,train
ml17_280a_0052_chunk0054.wav,0,ml17_280a_0052,train
ml17_280a_0114_chunk0059.wav,0,ml17_280a_0114,train
ml17_280a_0020_chunk0054.wav,0,ml17_280a_0020,train
ml17_280a_0089_chunk0009.wav,0,ml17_280a_0089,train
ml17_280a_0091_chunk0026.wav,0,ml17_280a_0091,train
ml17_280a_0089_chunk0052.wav,0,ml17_280a_0089,train
ml17_280a_0009_chunk0039.wav,0,ml17_280a_0009,train
ml17_280a_0029_chunk0011.wav,0,ml17_280a_0029,train
ml17_280a_0055_chunk0001.wav,0,ml17_280a_0055,train
ml17_280a_0023_chunk0055.wav,0,ml17_280a_0023,train
ml17_280a_0114_chunk0065.wav,0,ml17_280a_0114,train
ml17_280a_0048_chunk0062.wav,0,ml17_280a_0048,train
ml17_280a_0113_chunk0015.wav,0,ml17_280a_0113,train
ml17_280a_0065_chunk0040.wav,0,ml17_280a_0065,train
ml17_280a_0089_chunk0034.wav,0,ml17_280a_0089,train
ml17_280a_0057_chunk0024.wav,0,ml17_280a_0057,train
ml17_280a_0026_chunk0038.wav,0,ml17_280a_0026,train
ml17_280a_0062_chunk0006.wav,0,ml17_280a_0062,train
ml17_280a_0120_chunk0061.wav,0,ml17_280a_0120,train
ml17_280a_0160_chunk0009.wav,0,ml17_280a_0160,train
ml17_280a_0065_chunk0015.wav,0,ml17_280a_0065,train
ml17_280a_0073_chunk0027.wav,0,ml17_280a_0073,train
ml17_280a_0094_chunk0003.wav,0,ml17_280a_0094,train
ml17_280a_0068_chunk0039.wav,0,ml17_280a_0068,train
ml17_280a_0122_chunk0008.wav,0,ml17_280a_0122,train
ml17_280a_0009_chunk0031.wav,0,ml17_280a_0009,train
ml17_280a_0063_chunk0027.wav,0,ml17_280a_0063,train
ml17_280a_0020_chunk0045.wav,0,ml17_280a_0020,train
ml17_280a_0120_chunk0009.wav,0,ml17_280a_0120,train
ml17_280a_0049_chunk0042.wav,0,ml17_280a_0049,train
ml17_280a_0065_chunk0004.wav,0,ml17_280a_0065,train
ml17_280a_0052_chunk0044.wav,0,ml17_280a_0052,train
ml17_280a_0063_chunk0057.wav,0,ml17_280a_0063,train
ml17_280a_0009_chunk0036.wav,0,ml17_280a_0009,train
ml17_280a_0049_chunk0038.wav,0,ml17_280a_0049,train
ml17_280a_0068_chunk0000.wav,0,ml17_280a_0068,train
ml17_280a_0062_chunk0005.wav,0,ml17_280a_0062,train
ml17_280a_0073_chunk0011.wav,0,ml17_280a_0073,train
ml17_280a_0114_chunk0064.wav,0,ml17_280a_0114,train
ml17_280a_0073_chunk0046.wav,0,ml17_280a_0073,train
ml17_280a_0114_chunk0043.wav,0,ml17_280a_0114,train
ml17_280a_0014_chunk0006.wav,0,ml17_280a_0014,train
ml17_280a_0047_chunk0007.wav,0,ml17_280a_0047,train
ml17_280a_0024_chunk0014.wav,0,ml17_280a_0024,train
ml17_280a_0023_chunk0032.wav,0,ml17_280a_0023,train
ml17_280a_0068_chunk0001.wav,0,ml17_280a_0068,train
ml17_280a_0045_chunk0024.wav,0,ml17_280a_0045,train
ml17_280a_0057_chunk0000.wav,0,ml17_280a_0057,train
ml17_280a_0089_chunk0035.wav,0,ml17_280a_0089,train
ml17_280a_0052_chunk0034.wav,0,ml17_280a_0052,train
ml17_280a_0065_chunk0005.wav,0,ml17_280a_0065,train
ml17_280a_0020_chunk0052.wav,0,ml17_280a_0020,train
ml17_280a_0055_chunk0034.wav,0,ml17_280a_0055,train
ml17_280a_0048_chunk0048.wav,0,ml17_280a_0048,train
ml17_280a_0055_chunk0053.wav,0,ml17_280a_0055,train
ml17_280a_0073_chunk0003.wav,0,ml17_280a_0073,train
ml17_280a_0048_chunk0007.wav,0,ml17_280a_0048,train
ml17_280a_0052_chunk0001.wav,0,ml17_280a_0052,train
ml17_280a_0122_chunk0000.wav,0,ml17_280a_0122,train
ml17_280a_0062_chunk0004.wav,0,ml17_280a_0062,train
ml17_280a_0029_chunk0036.wav,0,ml17_280a_0029,train
ml17_280a_0094_chunk0002.wav,0,ml17_280a_0094,train
ml17_280a_0068_chunk0061.wav,0,ml17_280a_0068,train
ml17_280a_0045_chunk0015.wav,0,ml17_280a_0045,train
ml17_280a_0124_chunk0004.wav,0,ml17_280a_0124,train
ml17_280a_0053_chunk0035.wav,0,ml17_280a_0053,train
ml17_280a_0087_chunk0016.wav,0,ml17_280a_0087,train
ml17_280a_0023_chunk0034.wav,0,ml17_280a_0023,train
ml17_280a_0073_chunk0005.wav,0,ml17_280a_0073,train
ml17_280a_0091_chunk0027.wav,0,ml17_280a_0091,train
ml17_280a_0088_chunk0014.wav,0,ml17_280a_0088,train
ml17_280a_0028_chunk0044.wav,0,ml17_280a_0028,train
ml17_280a_0048_chunk0047.wav,0,ml17_280a_0048,train
ml17_280a_0055_chunk0013.wav,0,ml17_280a_0055,train
ml17_280a_0009_chunk0033.wav,0,ml17_280a_0009,train
ml17_280a_0120_chunk0006.wav,0,ml17_280a_0120,train
ml17_280a_0053_chunk0026.wav,0,ml17_280a_0053,train
ml17_280a_0089_chunk0002.wav,0,ml17_280a_0089,train
ml17_280a_0114_chunk0052.wav,0,ml17_280a_0114,train
ml17_280a_0052_chunk0002.wav,0,ml17_280a_0052,train
ml17_280a_0026_chunk0023.wav,0,ml17_280a_0026,train
ml17_280a_0122_chunk0003.wav,0,ml17_280a_0122,train
ml17_280a_0063_chunk0012.wav,0,ml17_280a_0063,train
ml17_280a_0023_chunk0026.wav,0,ml17_280a_0023,train
ml17_280a_0088_chunk0027.wav,0,ml17_280a_0088,train
ml17_280a_0060_chunk0003.wav,0,ml17_280a_0060,train
ml17_280a_0057_chunk0040.wav,0,ml17_280a_0057,train
ml17_280a_0073_chunk0025.wav,0,ml17_280a_0073,train
ml17_280a_0060_chunk0061.wav,0,ml17_280a_0060,train
ml17_280a_0091_chunk0042.wav,0,ml17_280a_0091,train
ml17_280a_0063_chunk0018.wav,0,ml17_280a_0063,train
ml17_280a_0023_chunk0065.wav,0,ml17_280a_0023,train
ml17_280a_0059_chunk0014.wav,0,ml17_280a_0059,train
ml17_280a_0009_chunk0026.wav,0,ml17_280a_0009,train
ml17_280a_0026_chunk0025.wav,0,ml17_280a_0026,train
ml17_280a_0073_chunk0018.wav,0,ml17_280a_0073,train
ml17_280a_0089_chunk0022.wav,0,ml17_280a_0089,train
ml17_280a_0059_chunk0021.wav,0,ml17_280a_0059,train
ml17_280a_0114_chunk0025.wav,0,ml17_280a_0114,train
ml17_280a_0116_chunk0002.wav,0,ml17_280a_0116,train
ml17_280a_0060_chunk0064.wav,0,ml17_280a_0060,train
ml17_280a_0052_chunk0004.wav,0,ml17_280a_0052,train
ml17_280a_0053_chunk0041.wav,0,ml17_280a_0053,train
ml17_280a_0055_chunk0050.wav,0,ml17_280a_0055,train
ml17_280a_0057_chunk0028.wav,0,ml17_280a_0057,train
ml17_280a_0045_chunk0001.wav,0,ml17_280a_0045,train
ml17_280a_0088_chunk0012.wav,0,ml17_280a_0088,train
ml17_280a_0045_chunk0059.wav,0,ml17_280a_0045,train
ml17_280a_0026_chunk0049.wav,0,ml17_280a_0026,train
ml17_280a_0028_chunk0020.wav,0,ml17_280a_0028,train
ml17_280a_0122_chunk0001.wav,0,ml17_280a_0122,train
ml17_280a_0055_chunk0032.wav,0,ml17_280a_0055,train
ml17_280a_0063_chunk0019.wav,0,ml17_280a_0063,train
ml17_280a_0088_chunk0045.wav,0,ml17_280a_0088,train
ml17_280a_0065_chunk0017.wav,0,ml17_280a_0065,train
ml17_280a_0114_chunk0009.wav,0,ml17_280a_0114,train
ml17_280a_0088_chunk0026.wav,0,ml17_280a_0088,train
ml17_280a_0063_chunk0034.wav,0,ml17_280a_0063,train
